,start_year
10147,3800
10148,3800
10149,3800
10150,3810
10151,3810
10152,3820
10153,3850
10154,3850
10155,3850
10156,3850
10157,3850
10158,3850
10159,3850
10160,3850
10161,3880
10162,3880
10163,3890
10164,3890
10165,3900
10166,3900
10167,3900
10168,3900
10169,3900
10170,3905
10171,3910
10172,3920
10173,3930
10174,3930
10175,3950
10176,3950
10177,3950
10178,3950
10179,3950
10180,3960
10181,3977
10182,4000
10183,4000
10184,4000
10185,4000
10186,4000
10187,4000
10188,4000
10189,4000
10190,4000
10191,4010
10192,4010
10193,4020
10194,4037
10195,4040
10196,4040
10197,4050
10198,4050
10199,4050
10200,4050
10201,4050
10202,4050
10203,4050
10204,4050
10205,4050
10206,4050
10207,4050
10208,4050
10209,4050
10210,4050
10211,4050
10212,4050
10213,4050
10214,4050
10215,4050
10216,4050
10217,4050
10218,4050
10219,4050
10220,4050
10221,4050
10222,4050
10223,4055
10224,4060
10225,4060
10226,4070
10227,4090
10228,4095
10229,4100
10230,4100
10231,4100
10232,4100
10233,4110
10234,4110
10235,4120
10236,4130
10237,4140
10238,4150
10239,4150
10240,4150
10241,4150
10242,4150
10243,4150
10244,4150
10245,4150
10246,4150
10247,4150
10248,4150
10249,4150
10250,4160
10251,4200
10252,4200
10253,4200
10254,4210
10255,4230
10256,4240
10257,4250
10258,4250
10259,4250
10260,4250
10261,4250
10262,4250
10263,4250
10264,4250
10265,4250
10266,4270
10267,4270
10268,4280
10269,4280
10270,4300
10271,4300
10272,4300
10273,4300
10274,4320
10275,4321
10276,4340
10277,4350
10278,4350
10279,4350
10280,4350
10281,4350
10282,4350
10283,4350
10284,4350
10285,4350
10286,4350
10287,4360
10288,4360
10289,4370
10290,4375
10291,4390
10292,4400
10293,4400
10294,4400
10295,4400
10296,4400
10297,4410
10298,4411
10299,4430
10300,4430
10301,4430
10302,4447
10303,4450
10304,4450
10305,4450
10306,4450
10307,4450
10308,4450
10309,4450
10310,4450
10311,4450
10312,4450
10313,4450
10314,4450
10315,4450
10316,4460
10317,4460
10318,4470
10319,4490
10320,4500
10321,4500
10322,4500
10323,4500
10324,4500
10325,4500
10326,4500
10327,4510
10328,4510
10329,4510
10330,4530
10331,4550
10332,4550
10333,4550
10334,4550
10335,4550
10336,4550
10337,4550
10338,4550
10339,4550
10340,4550
10341,4550
10342,4550
10343,4550
10344,4550
10345,4550
10346,4550
10347,4550
10348,4550
10349,4550
10350,4550
10351,4550
10352,4550
10353,4550
10354,4564
10355,4570
10356,4570
10357,4596
10358,4600
10359,4600
10360,4600
10361,4600
10362,4600
10363,4610
10364,4615
10365,4620
10366,4630
10367,4650
10368,4650
10369,4650
10370,4650
10371,4650
10372,4650
10373,4650
10374,4650
10375,4660
10376,4670
10377,4689
10378,4690
10379,4690
10380,4690
10381,4690
10382,4700
10383,4700
10384,4700
10385,4700
10386,4700
10387,4700
10388,4700
10389,4730
10390,4740
10391,4740
10392,4750
10393,4750
10394,4750
10395,4750
10396,4750
10397,4750
10398,4760
10399,4770
10400,4790
10401,4800
10402,4800
10403,4800
10404,4800
10405,4800
10406,4800
10407,4803
10408,4810
10409,4810
10410,4840
10411,4849
10412,4850
10413,4850
10414,4850
10415,4850
10416,4850
10417,4850
10418,4850
10419,4860
10420,4880
10421,4885
10422,4890
10423,4900
10424,4900
10425,4900
10426,4900
10427,4900
10428,4900
10429,4920
10430,4920
10431,4938
10432,4940
10433,4946
10434,4950
10435,4950
10436,4960
10437,4960
10438,4960
10439,4960
10440,4988
10441,5000
10442,5000
10443,5000
10444,5000
10445,5000
10446,5010
10447,5020
10448,5020
10449,5030
10450,5040
10451,5040
10452,5050
10453,5050
10454,5050
10455,5050
10456,5050
10457,5050
10458,5050
10459,5050
10460,5050
10461,5050
10462,5050
10463,5050
10464,5050
10465,5050
10466,5050
10467,5050
10468,5050
10469,5050
10470,5050
10471,5050
10472,5050
10473,5050
10474,5050
10475,5050
10476,5050
10477,5050
10478,5060
10479,5060
10480,5070
10481,5070
10482,5070
10483,5080
10484,5080
10485,5085
10486,5100
10487,5100
10488,5110
10489,5120
10490,5150
10491,5150
10492,5150
10493,5150
10494,5150
10495,5150
10496,5150
10497,5152
10498,5160
10499,5180
10500,5180
10501,5200
10502,5220
10503,5230
10504,5230
10505,5230
10506,5240
10507,5242
10508,5250
10509,5250
10510,5250
10511,5250
10512,5250
10513,5250
10514,5250
10515,5260
10516,5260
10517,5278
10518,5290
10519,5290
10520,5290
10521,5300
10522,5310
10523,5310
10524,5320
10525,5340
10526,5350
10527,5350
10528,5350
10529,5350
10530,5350
10531,5350
10532,5360
10533,5371
10534,5390
10535,5390
10536,5400
10537,5400
10538,5400
10539,5400
10540,5410
10541,5420
10542,5450
10543,5450
10544,5450
10545,5450
10546,5450
10547,5450
10548,5450
10549,5460
10550,5470
10551,5470
10552,5490
10553,5500
10554,5500
10555,5500
10556,5500
10557,5500
10558,5500
10559,5500
10560,5500
10561,5500
10562,5521
10563,5540
10564,5550
10565,5550
10566,5550
10567,5550
10568,5550
10569,5550
10570,5550
10571,5550
10572,5550
10573,5550
10574,5550
10575,5550
10576,5550
10577,5550
10578,5550
10579,5550
10580,5550
10581,5550
10582,5560
10583,5580
10584,5580
10585,5590
10586,5600
10587,5600
10588,5600
10589,5600
10590,5610
10591,5610
10592,5630
10593,5650
10594,5650
10595,5650
10596,5650
10597,5650
10598,5650
10599,5680
10600,5700
10601,5700
10602,5700
10603,5700
10604,5700
10605,5700
10606,5700
10607,5710
10608,5720
10609,5720
10610,5730
10611,5745
10612,5750
10613,5750
10614,5750
10615,5750
10616,5750
10617,5750
10618,5760
10619,5770
10620,5800
10621,5800
10622,5800
10623,5800
10624,5800
10625,5800
10626,5800
10627,5800
10628,5820
10629,5820
10630,5820
10631,5820
10632,5830
10633,5840
10634,5840
10635,5850
10636,5850
10637,5850
10638,5850
10639,5850
10640,5850
10641,5850
10642,5850
10643,5850
10644,5850
10645,5857
10646,5860
10647,5870
10648,5880
10649,5881
10650,5890
10651,5890
10652,5900
10653,5900
10654,5910
10655,5920
10656,5930
10657,5940
10658,5940
10659,5940
10660,5950
10661,5950
10662,5950
10663,5950
10664,5950
10665,5960
10666,5980
10667,5980
10668,5990
10669,5995
10670,6000
10671,6000
10672,6000
10673,6000
10674,6000
10675,6020
10676,6030
10677,6030
10678,6050
10679,6050
10680,6050
10681,6050
10682,6050
10683,6050
10684,6050
10685,6050
10686,6050
10687,6050
10688,6050
10689,6050
10690,6050
10691,6050
10692,6050
10693,6050
10694,6050
10695,6050
10696,6050
10697,6050
10698,6050
10699,6050
10700,6050
10701,6050
10702,6050
10703,6050
10704,6060
10705,6100
10706,6100
10707,6100
10708,6110
10709,6120
10710,6130
10711,6140
10712,6150
10713,6150
10714,6150
10715,6150
10716,6150
10717,6150
10718,6170
10719,6190
10720,6190
10721,6200
10722,6200
10723,6200
10724,6200
10725,6200
10726,6210
10727,6213
10728,6220
10729,6220
10730,6220
10731,6230
10732,6230
10733,6240
10734,6250
10735,6250
10736,6250
10737,6250
10738,6250
10739,6250
10740,6250
10741,6250
10742,6250
10743,6270
10744,6273
10745,6280
10746,6300
10747,6300
10748,6300
10749,6300
10750,6300
10751,6300
10752,6310
10753,6310
10754,6310
10755,6320
10756,6338
10757,6340
10758,6350
10759,6350
10760,6350
10761,6350
10762,6350
10763,6350
10764,6360
10765,6380
10766,6380
10767,6397
10768,6400
10769,6400
10770,6400
10771,6400
10772,6400
10773,6440
10774,6450
10775,6450
10776,6450
10777,6450
10778,6450
10779,6450
10780,6470
10781,6471
10782,6476
10783,6480
10784,6490
10785,6500
10786,6500
10787,6510
10788,6510
10789,6520
10790,6540
10791,6550
10792,6550
10793,6550
10794,6550
10795,6550
10796,6550
10797,6550
10798,6550
10799,6550
10800,6550
10801,6550
10802,6550
10803,6550
10804,6550
10805,6555
10806,6560
10807,6580
10808,6590
10809,6600
10810,6600
10811,6600
10812,6610
10813,6614
10814,6640
10815,6650
10816,6650
10817,6650
10818,6650
10819,6650
10820,6650
10821,6650
10822,6650
10823,6650
10824,6650
10825,6650
10826,6660
10827,6670
10828,6670
10829,6690
10830,6700
10831,6710
10832,6710
10833,6720
10834,6721
10835,6750
10836,6750
10837,6750
10838,6750
10839,6750
10840,6760
10841,6760
10842,6766
10843,6800
10844,6800
10845,6800
10846,6800
10847,6820
10848,6820
10849,6830
10850,6850
10851,6850
10852,6850
10853,6850
10854,6880
10855,6880
10856,6890
10857,6890
10858,6890
10859,6910
10860,6930
10861,6940
10862,6950
10863,6950
10864,6950
10865,6950
10866,6950
10867,6950
10868,6955
10869,7000
10870,7000
10871,7000
10872,7020
10873,7030
10874,7030
10875,7050
10876,7050
10877,7050
10878,7050
10879,7050
10880,7050
10881,7050
10882,7050
10883,7050
10884,7050
10885,7050
10886,7050
10887,7050
10888,7050
10889,7050
10890,7050
10891,7050
10892,7050
10893,7050
10894,7050
10895,7050
10896,7050
10897,7087
10898,7100
10899,7100
10900,7100
10901,7100
10902,7140
10903,7148
10904,7150
10905,7150
10906,7150
10907,7150
10908,7180
10909,7190
10910,7200
10911,7200
10912,7210
10913,7210
10914,7210
10915,7220
10916,7240
10917,7250
10918,7250
10919,7250
10920,7250
10921,7250
10922,7250
10923,7260
10924,7260
10925,7270
10926,7270
10927,7290
10928,7300
10929,7300
10930,7300
10931,7300
10932,7300
10933,7300
10934,7310
10935,7310
10936,7320
10937,7330
10938,7340
10939,7350
10940,7350
10941,7350
10942,7350
10943,7350
10944,7370
10945,7380
10946,7380
10947,7390
10948,7400
10949,7400
10950,7400
10951,7400
10952,7410
10953,7420
10954,7420
10955,7420
10956,7420
10957,7430
10958,7430
10959,7450
10960,7450
10961,7450
10962,7450
10963,7450
10964,7460
10965,7480
10966,7490
10967,7500
10968,7500
10969,7500
10970,7510
10971,7520
10972,7530
10973,7530
10974,7540
10975,7550
10976,7550
10977,7550
10978,7550
10979,7550
10980,7550
10981,7550
10982,7550
10983,7550
10984,7550
10985,7550
10986,7550
10987,7550
10988,7550
10989,7550
10990,7550
10991,7550
10992,7550
10993,7550
10994,7550
10995,7560
10996,7570
10997,7579
10998,7590
10999,7590
11000,7600
11001,7600
11002,7600
11003,7600
11004,7620
11005,7620
11006,7627
11007,7629
11008,7630
11009,7650
11010,7650
11011,7650
11012,7650
11013,7683
11014,7690
11015,7690
11016,7700
11017,7700
11018,7710
11019,7728
11020,7740
11021,7740
11022,7750
11023,7750
11024,7750
11025,7750
11026,7750
11027,7750
11028,7750
11029,7750
11030,7750
11031,7769
11032,7800
11033,7800
11034,7800
11035,7810
11036,7820
11037,7837
11038,7840
11039,7840
11040,7850
11041,7850
11042,7850
11043,7850
11044,7850
11045,7850
11046,7850
11047,7870
11048,7900
11049,7900
11050,7900
11051,7920
11052,7930
11053,7930
11054,7943
11055,7950
11056,7950
11057,7950
11058,7953
11059,7978
11060,7980
11061,7990
11062,8000
11063,8010
11064,8020
11065,8020
11066,8026
11067,8031
11068,8040
11069,8040
11070,8050
11071,8050
11072,8050
11073,8050
11074,8050
11075,8050
11076,8050
11077,8050
11078,8050
11079,8050
11080,8050
11081,8050
11082,8050
11083,8050
11084,8050
11085,8050
11086,8050
11087,8050
11088,8050
11089,8050
11090,8050
11091,8050
11092,8050
11093,8060
11094,8060
11095,8098
11096,8100
11097,8100
11098,8103
11099,8130
11100,8154
11101,8169
11102,8200
11103,8200
11104,8210
11105,8210
11106,8230
11107,8230
11108,8232
11109,8250
11110,8250
11111,8250
11112,8250
11113,8250
11114,8290
11115,8300
11116,8300
11117,8301
11118,8320
11119,8350
11120,8350
11121,8350
11122,8400
11123,8400
11124,8450
11125,8450
11126,8460
11127,8460
11128,8480
11129,8500
11130,8500
11131,8500
11132,8500
11133,8540
11134,8550
11135,8560
11136,8600
11137,8670
11138,8710
11139,8720
11140,8740
11141,8750
11142,8780
11143,8800
11144,8910
11145,9000
11146,9050
11147,9160
11148,9210
11149,9210
11150,9240
11151,9240
11152,9280
11153,9310
11154,9350
11155,9360
11156,9450
11157,9450
11158,9450
11159,9460
11160,9490
11161,9500
11162,9500
11163,9520
11164,9540
11165,9650
11166,9650
11167,9675
11168,9700
11169,9850
11170,9850
11171,9850
11172,9950
11173,10060
11174,10450
11175,10658
11176,11345
